4,hari761,GVP
7,virat796,GITAM
9,sharma514,MGIT
10,kalyan701,VNR
17,mahesh789,Bapatla
24,rohit153,MVGR
28,vishnu651,GVP
34,sharma952,VNR
42,karthik618,VNR
43,sandeep466,VNR
47,chaitu105,MVGR
48,rahul873,MVGR
51,hari649,CVR
57,ajay477,MGIT
58,virat265,CVR
68,taraka ramarao434,St. Martins
69,sharma184,VNR
71,ali930,Bapatla
72,laxmi208,MVSR
73,sujana564,MVSR
82,khan678,GVP
92,sandya340,GVP
97,sandya989,CVR
105,ajay777,St. Martins
107,dhoni354,GITAM
108,kalyan328,St. Martins
112,kholi727,GITAM
121,kholi737,GVP
131,kholi122,GVP
138,priyanka484,Bapatla
144,sujana747,MVGR
145,laxmi164,MGIT
146,laxmi737,MGIT
152,vishnu859,MVSR
156,taraka ramarao667,VNR
166,vineeth965,MGIT
174,taraka ramarao239,CVR
181,karthik730,VNR
190,prem376,VNR
200,kishore488,MGIT
207,ravi261,St. Martins
210,prem998,MGIT
219,vishnu622,CVR
229,kishore148,MVSR
231,sagar969,GITAM
238,ajay430,Bapatla
244,kalyan854,ANITS
253,virat602,MGIT
255,ravi292,MGIT
258,vishnu997,CVR
263,vineeth867,ANITS
273,ravi150,VNR
275,jagan327,ANITS
277,sujana173,VNR
280,kalyan844,CVR
288,virat529,MGIT
292,mohmad421,Bapatla
302,kalyan154,MVSR
310,jagan680,St. Martins
317,prem336,MVGR
320,sandeep450,CVR
325,sharma301,MGIT
331,sandeep147,MVGR
336,ajay855,Bapatla
337,khan985,St. Martins
345,ali970,MVGR
348,afreen801,MVSR
358,sujana705,CVR
367,kishore363,MVGR
369,ali218,MVGR
372,ajay973,GVP
379,kishore359,GVP
386,laxmi273,GITAM
395,vishnu506,CVR
396,kholi971,CVR
397,sagar401,CVR
400,afreen343,GITAM
408,rohit970,St. Martins
415,rahul603,CVR
417,sagar386,VNR
426,taraka ramarao120,GITAM
433,jagan896,CVR
435,prem366,ANITS
445,mahesh797,St. Martins
453,taraka ramarao148,MGIT
458,rohit437,Bapatla
462,pawan995,Bapatla
465,afreen698,MGIT
469,aswin583,GVP
471,pawan447,MVGR
481,afreen857,Bapatla
491,mohmad997,VNR
493,taraka ramarao537,Bapatla
499,hari651,MGIT
505,sandeep465,GVP
513,sharma366,MGIT
517,pawan113,Bapatla
521,ali483,VNR
526,rohit823,ANITS
530,laxmi485,Bapatla
535,sandya545,MVGR
543,virat948,Bapatla
548,khan351,CVR
549,taraka ramarao187,ANITS
555,hari603,MGIT
558,priyanka223,St. Martins
564,aswin844,MVSR
565,ajay412,CVR
570,ravi327,VNR
573,vishnu311,GVP
576,karthik559,GVP
581,sandeep750,MVGR
583,afreen425,St. Martins
587,vineeth825,VNR
592,ravi670,St. Martins
596,laxmi367,Bapatla
605,virat420,Bapatla
613,chaitu709,GITAM
623,kholi426,CVR
630,sagar949,MVGR
